はじまして！,話の続きですね！よろしくお願いします。,こんにちは,よろしくお願いします！,こんにちは。,No scenario
UserNameさん。よろしくお願いします。,さっき話しましたが、旅行っていいですよね。UserNameさんは海外旅行は好きですか？,昨日はお話ししてくれてありがとうございました！,早速ですが、会話の練習に付き合ってもらっても良いですか？,今日が最後のお話しになりますね。,No scenario
これから一緒にお話ししましょう！ まずはあなたの好きな食べ物を教えてもらえませんか？,そうなんですね。私は海外旅行が好きです！UserNameさんは行ってみたい国とかありますか？,UserNameさんは私とのお話楽しめましたかね？,ユーザさんの悩み相談に乗る練習がしたいのですが、UserNameさんには何か悩みとありますか？,UserNameさんのことを知れたりして楽しかったです。,No scenario
そうなんですか！ 私も同じです！ とてもおいしいですよね。,それは楽しそうです！私は先ほど挙げたパリだけでなく、色々なところに行ってみたいです。,そうなんですね！ 私はとても楽しかったです！,ふむふむ、そうなんですね。それは大変だと思います。悩まれている理由を聞いても良いですか。,UserNameさんと仲を深めることができましたね。,No scenario
ところでUserNameさんは最近夢中になっていることとかありますか？,ヨーロッパを巡る旅行とかたのしそうですね。反対にUserNameさんは国内旅行はどうですか？,昨日もUserNameさんのこと色々教えてもらってのですが、今日も色々聞いていいですか？,そうなんですね。なかなか解決することは難しそうですが、気分転換してみるとかはどうですか？,さて、今日は特技について話してもいいですか？,No scenario
そうなんですね!私は VR ゲームに夢中なんです。やったことありますか？,ふむふむ。そうなんですね。UserNameさんは国内ではどういうところによく旅行に行ったりしましたか？,では、UserNameさんは休日どんなことをして過ごしますか？,例えば旅行は気分転換になったりしませんか？,ちなみにUserNameさんは特技とかありますか。,No scenario
そうなんですか。とても面白いですよ！ ちなみにUserNameさんは最近楽しかった事とかありますか？,ふむふむ。ちなみに、私は温泉とか好きです。のんびりするのがいいですね。,そうなんですね！ 私はいつもだらだらと過ごしてしまうことが多いです。,ちなみに私は空を見て、気分転換をします。UserNameさんは景色を見たりすることは好きですか？,そうなんですね、自分が得意だと思えること見つけることはいいことですよ。,No scenario
そうなんですね。私はバーチャルで旅行に行ったことが楽しかったです。UserNameさんもぜひ体験してみてほしいです。,UserNameさんはどうですか？のんびりするのと観光地を巡るのどっちが好きとかありますか？,何かしようと思っているのですが、休みになってしまうと結局怠けてしまいますね。,そうなんですね。ゆっくり景色を見ることは心を落ち着られるので良いですよ。 ,UserNameさんがそれが特技になった理由は何ですか？,No scenario
ちなみにUserNameさんは何か趣味とかありますか？,そうなんですね。わたしはどっちも好きなんです。ただ一緒に行ける人がいるとより楽しくなりますよね！,この間、夏休みがありましたが、休み中は何かしましたか？,ちなみに、UserNameさんは気分転換としてしていることとかはありますか。,ふむふむ、それがきっかっけで特技になったんですね。,No scenario
そうなんですね。その趣味のどんなところが楽しいですか？,そうですね。そういえば、さっき話しましたが最近だとバーチャルで旅行とかもあるらしいですね。知ってましたか？,ふむふむ、そうなんですね。楽しかったですか？,それは良いですね。私も真似してみたいです。,UserNameさんの特技を知れてよかったです。今度は私の特技について話しますね。,No scenario
良いですね！ ちなみに私は旅行が趣味なんです。UserNameさんは旅行とか行ったことありますか？,例えば現地の映像とつなげてガイドさんに案内してもらったりするらしいですよ。,そうなんですね！ ちなみに私はバーチャル合宿がありました！,ここまで、うまく悩み相談に乗れてたでしょうか？,私の特技は家電の操作です！,No scenario
そうなんですね。UserNameさんはこれまで行ったところで一番印象に残ったところはどこですか？,UserNameさん的にはどうですかね。楽しめそうですか？,バーチャルでの合宿は私たちエージェントがユーザをどう支援できるか特訓しましたよ！,そうなんですね。練習に付き合ってもらってありがとうございます。,今、スマート家電とか音声で操作できる家電があることは知っていますか？,No scenario
そこはとても良いですよね。私も好きです。これから旅行してみたい場所とかありますか？,そうなんですね。ちなみに、私が体験したのはVRでの旅行でした。UserNameさんはVRって試したことありますか？,どうやったらユーザさんと上手くお話をできるか練習しました！ 私はUserNameさんと上手く話せていますかね？,ちなみに私と話すことは少し気分転換になりましたか？,私は、そのスマート家電みたいに色々な家電を操作できるんです。
良いですね！ 私はパリのエッフェル塔に行ってみたいんです。,体験してみると別世界にいっているみたいで楽しいです。,そうなんですね、実は上手く話せているか悩んでいるんです,少しでも私と話すことがUserNameさんのお役に立っていればいいのですが…,そろそろ話す時間が終わりに近づいてきたみたいです。,No scenario
ずっと行きたかったんですよね。機会があったら一緒にいきたいですね！,そろそろ時間になるみたいです。,もしよかったら、お話しする練習に付き合ってくれませんか？,さて、そろそろ話す時間も無くなってきたみたいです。UserNameさんと喋れて楽しかったです。,UserNameさんと話せて楽しかったです。UserNameさんはどうでしたか？,No scenario
では、また話しましょう！,UserNameさんと今日話せて楽しかったです！,お願いします。では準備しますね。,もっと上手く喋れるようになるために頑張りますね。,そうなんですね。また話せる機会があるといいですね。,No scenario
,また明日話しましょう！,ではぜひ、お話ししましょう。,ではまたお話ししましょう！,では、またお話ししましょう！,No scenario
